tfm	pack	assembly	file	kind	forwardsTo	version	publicTypes
net8.0	netcore.app	System.ValueTuple	System.ValueTuple.dll	facade	System.Runtime	8.0.0.0	0
net8.0	netcore.app	System.Web	System.Web.dll	facade	System.Web.HttpUtility	4.0.0.0	0
net8.0	netcore.app	System.Web.HttpUtility	System.Web.HttpUtility.dll	impl		8.0.0.0	2
net8.0	netcore.app	System.Windows	System.Windows.dll	facade	System.ObjectModel	4.0.0.0	0
net8.0	netcore.app	System.Xml	System.Xml.dll	facade	System.Xml.ReaderWriter	4.0.0.0	0
net8.0	netcore.app	System.Xml.Linq	System.Xml.Linq.dll	facade	System.Xml.XDocument	4.0.0.0	0
net8.0	netcore.app	System.Xml.ReaderWriter	System.Xml.ReaderWriter.dll	facade	System.Private.Xml	8.0.0.0	187
net8.0	netcore.app	System.Xml.Serialization	System.Xml.Serialization.dll	facade	System.Xml.XmlSerializer	4.0.0.0	0
net8.0	netcore.app	System.Xml.XDocument	System.Xml.XDocument.dll	facade	System.Private.Xml.Linq	8.0.0.0	24
net8.0	netcore.app	System.Xml.XmlDocument	System.Xml.XmlDocument.dll	facade	System.Xml.ReaderWriter	8.0.0.0	0
net8.0	netcore.app	System.Xml.XmlSerializer	System.Xml.XmlSerializer.dll	facade	System.Private.Xml	8.0.0.0	58
net8.0	netcore.app	System.Xml.XPath	System.Xml.XPath.dll	facade	System.Private.Xml	8.0.0.0	2
net8.0	netcore.app	System.Xml.XPath.XDocument	System.Xml.XPath.XDocument.dll	impl		8.0.0.0	2
net8.0	netcore.app	WindowsBase	WindowsBase.dll	facade	System.IO.Packaging	4.0.0.0	0
net9.0	aspnetcore.app	Microsoft.AspNetCore	Microsoft.AspNetCore.dll	impl		9.0.0.0	7
net9.0	aspnetcore.app	Microsoft.AspNetCore.Antiforgery	Microsoft.AspNetCore.Antiforgery.dll	impl		9.0.0.0	8
net9.0	aspnetcore.app	Microsoft.AspNetCore.Authentication	Microsoft.AspNetCore.Authentication.dll	impl		9.0.0.0	37
net9.0	aspnetcore.app	Microsoft.AspNetCore.Authentication.Abstractions	Microsoft.AspNetCore.Authentication.Abstractions.dll	impl		9.0.0.0	21
net9.0	aspnetcore.app	Microsoft.AspNetCore.Authentication.BearerToken	Microsoft.AspNetCore.Authentication.BearerToken.dll	impl		9.0.0.0	6
net9.0	aspnetcore.app	Microsoft.AspNetCore.Authentication.Cookies	Microsoft.AspNetCore.Authentication.Cookies.dll	impl		9.0.0.0	14
net9.0	aspnetcore.app	Microsoft.AspNetCore.Authentication.Core	Microsoft.AspNetCore.Authentication.Core.dll	impl		9.0.0.0	6
net9.0	aspnetcore.app	Microsoft.AspNetCore.Authentication.OAuth	Microsoft.AspNetCore.Authentication.OAuth.dll	impl		9.0.0.0	19
net9.0	aspnetcore.app	Microsoft.AspNetCore.Authorization	Microsoft.AspNetCore.Authorization.dll	impl		9.0.0.0	34
net9.0	aspnetcore.app	Microsoft.AspNetCore.Authorization.Policy	Microsoft.AspNetCore.Authorization.Policy.dll	impl		9.0.0.0	9
net9.0	aspnetcore.app	Microsoft.AspNetCore.Components	Microsoft.AspNetCore.Components.dll	impl		9.0.0.0	89
net9.0	aspnetcore.app	Microsoft.AspNetCore.Components.Authorization	Microsoft.AspNetCore.Components.Authorization.dll	impl		9.0.0.0	11
net9.0	aspnetcore.app	Microsoft.AspNetCore.Components.Endpoints	Microsoft.AspNetCore.Components.Endpoints.dll	impl		9.0.0.0	19
net9.0	aspnetcore.app	Microsoft.AspNetCore.Components.Forms	Microsoft.AspNetCore.Components.Forms.dll	impl		9.0.0.0	9
net9.0	aspnetcore.app	Microsoft.AspNetCore.Components.Server	Microsoft.AspNetCore.Components.Server.dll	impl		9.0.0.0	18
net9.0	aspnetcore.app	Microsoft.AspNetCore.Components.Web	Microsoft.AspNetCore.Components.Web.dll	impl		9.0.0.0	79
net9.0	aspnetcore.app	Microsoft.AspNetCore.Connections.Abstractions	Microsoft.AspNetCore.Connections.Abstractions.dll	impl		9.0.0.0	53
net9.0	aspnetcore.app	Microsoft.AspNetCore.CookiePolicy	Microsoft.AspNetCore.CookiePolicy.dll	impl		9.0.0.0	7
net9.0	aspnetcore.app	Microsoft.AspNetCore.Cors	Microsoft.AspNetCore.Cors.dll	impl		9.0.0.0	19
net9.0	aspnetcore.app	Microsoft.AspNetCore.Cryptography.Internal	Microsoft.AspNetCore.Cryptography.Internal.dll	impl		9.0.0.0	0
net9.0	aspnetcore.app	Microsoft.AspNetCore.Cryptography.KeyDerivation	Microsoft.AspNetCore.Cryptography.KeyDerivation.dll	impl		9.0.0.0	2
net9.0	aspnetcore.app	Microsoft.AspNetCore.DataProtection	Microsoft.AspNetCore.DataProtection.dll	impl		9.0.0.0	67
net9.0	aspnetcore.app	Microsoft.AspNetCore.DataProtection.Abstractions	Microsoft.AspNetCore.DataProtection.Abstractions.dll	impl		9.0.0.0	4
net9.0	aspnetcore.app	Microsoft.AspNetCore.DataProtection.Extensions	Microsoft.AspNetCore.DataProtection.Extensions.dll	impl		9.0.0.0	3
net9.0	aspnetcore.app	Microsoft.AspNetCore.Diagnostics	Microsoft.AspNetCore.Diagnostics.dll	impl		9.0.0.0	18
